,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
A_Ch_R1250,0.169819087834257,0.04245272771046146,0.02036907654611271,-0.09669177754216206,0.04358252370474828,0.0025974176943524786,-0.08422115324882795,0.030918830061949405,-0.16592418387764266,0.06688436692549773,-0.1928404632071002,-0.041365015481324804,-0.05907091541524753,0.02637121846146897,-0.01961876720193029,0.022612257241021425
A_Ch_R1500,0.1691714162333811,0.02037173590115706,-0.012212346329602795,-0.11454299588217216,0.05870392609910878,-0.0011432445535499445,-0.05398486475864205,0.05261816093274088,-0.154873808996641,0.058290091168914454,-0.18842407561093333,-0.04579698624088437,-0.08060219140721221,0.0029447216820831005,-0.0067369815570868284,0.022624140442323533
M_CH_R2000,0.16820707074509447,0.06267554591620168,-0.04041669276952636,-0.08466625565030943,0.015417640181030935,0.04210096381410223,-0.18072506885677753,-0.09802327577351082,-0.035522381018339544,-0.10953766616217463,0.030269453881223596,0.0066026220322848855,0.03384019357494563,-0.05863598408740277,0.010121763789862459,-0.011159979572902629
A_Ch_R1000,0.16741430976228902,0.06533978880791688,0.05970158994797759,-0.0670530399228839,0.019418733254570636,0.015770974632834733,-0.11097253490846533,0.010416245459947958,-0.16063879696829236,0.06742169388357173,-0.1722485438064806,-0.037905537649390315,-0.053271994883372954,0.06552310239465822,-0.02528771335333887,0.015110229133637451
M_CH_R1500,0.16732433279386127,0.08606022441620217,0.003561146972849462,-0.057432150928794605,0.013682624753077941,0.024700355426224157,-0.2013642719172738,-0.07974371943588217,-0.08098409348634839,-0.044762191084160026,-0.02349432128572182,-0.014304224459829429,0.07653832386645538,-0.05362879405668375,-0.028094753960006276,-0.010833229705735692
M_CH_R2500,0.16479197983333632,0.04166622049953727,-0.06863110348072828,-0.10586155029364927,0.00775628699313548,0.06042141008788405,-0.1508958202254109,-0.11406246426813682,0.011231497793550017,-0.1386298810865764,0.07982928106751264,0.024156497492874122,0.010901912017528995,-0.05115812193087388,0.03811664525163094,-0.01294564584761232
A_Ch_R2000,0.16428602904740622,-0.014275526872492056,-0.05938548915789838,-0.13214066308608288,0.07566158120795759,-0.007804640156645292,0.013116765120463475,0.08601750719334744,-0.12545376056868343,0.04161633958604103,-0.14645005079362966,-0.05628368186836497,-0.1118225788487375,0.015492025353322739,-0.0032017271947608152,0.01179302010465062
M_CH_R1250,0.16304993611880458,0.09945591295568067,0.032656335157824255,-0.04112892873462957,0.00276887013249195,0.020243922495562672,-0.2024426130825478,-0.07615240399999593,-0.08980509654330193,-0.007269284560543557,-0.0443588967168656,-0.02127087778365888,0.09335585816861161,-0.0319492964356059,-0.05800807007918704,-0.01380368963135789
M_CH_R3000,0.16267864060620676,0.02241712604162756,-0.08317335178895505,-0.11789284198782116,0.003986386228941315,0.0791369391033007,-0.11599304046728738,-0.12280060726260798,0.04372572500040092,-0.13990358573500195,0.11289672966902553,0.039533365026545524,0.008683241886316792,-0.05224116606804992,0.06332421832371404,-0.013377459357970162
M_CH_R3500,0.16116797278298706,0.004916693583724404,-0.08949011260522781,-0.12463520490186081,0.007104480623295294,0.09215056997955814,-0.07743438165305448,-0.12951691548224048,0.06557138209636491,-0.13233541463594012,0.13535583703625986,0.0499268446042089,0.01595364713255695,-0.05181588681761473,0.0804594006875542,-0.014072758329812585
M_CH_R4000,0.15879636471590625,-0.00850164019035336,-0.09244944227158758,-0.12875449556124544,0.016145254166922616,0.0979712093787975,-0.035519127894330906,-0.1374481827659512,0.08077231860734581,-0.12391226581111647,0.1504090409280012,0.05883359076031277,0.02784486490993328,-0.05045959658598814,0.08588621592594547,-0.010049008190562397
A_Ch_R750,0.1580740649024551,0.08549127029626048,0.11549261228440547,-0.03478110689041935,-0.021151486331673276,0.04137734926137498,-0.10515114052677627,0.00847894716126419,-0.12752302227203308,0.0676381123752356,-0.1237230099143813,-0.0271166061800954,-0.05840440494689147,0.0836927537087826,-0.039124095243967864,-0.018728289445084312
M_CH_R1000,0.15805308588670136,0.10991348961095734,0.07073156723718417,-0.021494705828083025,-0.009429905749284536,0.02003267815692321,-0.18942688691378196,-0.0739485822070372,-0.08287543341686315,0.02692612523189547,-0.05324803265209274,-0.02709197465604794,0.08492707799722446,0.010893812455833346,-0.07783620696489511,-0.022073304386354686
A_Ch_R2500,0.15702740105591106,-0.035807962066655936,-0.08585905688014081,-0.14078725840300932,0.07749012241009536,-0.010862571671535938,0.07826474294803107,0.10830259248851383,-0.09046248820239801,0.05121220008444649,-0.10175453939277178,-0.05907505788988158,-0.11371776831341877,0.03968210088302406,-0.006976719007815637,0.004466023949153701
M_CH_R4500,0.15542176157739104,-0.017124238206644948,-0.09436596442521564,-0.13201317353569528,0.02706185766938943,0.09689641899502166,0.0013419351097015712,-0.1421145507763334,0.09291943377135635,-0.11329968430198735,0.1587481990401422,0.06648407562310817,0.03874375646261455,-0.05142868055005992,0.08633221467330171,0.0005385021340004181
M_CH_R5000,0.15184220834567103,-0.02229608098404724,-0.09444039016075655,-0.13514766682060536,0.03763048239893812,0.09263326495205973,0.029849645431707837,-0.14325353202997732,0.10106168510139907,-0.10423590806916148,0.15905308272233984,0.07106833528224324,0.04700211395493559,-0.055769792402019215,0.08728125818768148,0.009364488579821376
A_Ch_R3000,0.15146718112386165,-0.05182083474258704,-0.0980135864513567,-0.143795270439528,0.07309897318803193,-0.0008137198433747612,0.13155175781268796,0.11763910362819631,-0.060812124420144685,0.06727491800273627,-0.05221760095560248,-0.05668656342540827,-0.09517896679678223,0.050045988891317617,-0.0042027167664563615,-0.00449819933134211
M_CH_R750,0.1489418016324599,0.11655504287053552,0.12295374765917405,-0.0021765087178963636,-0.03571641146578283,0.029652326476449692,-0.1498642844709186,-0.05700608726520736,-0.04804320678697679,0.0534118921184141,-0.02924593957845568,-0.028926369622337314,0.045703450952649716,0.05123443681639038,-0.08809986855151306,-0.04582941326406548
A_Ch_R3500,0.1464672877757229,-0.06130781970893013,-0.10367568836343147,-0.14410454576390752,0.07088691434487092,0.008236541223784257,0.16990194892847288,0.11682048756106451,-0.03581128578778149,0.08381120221670613,-0.01247610386972776,-0.04722498315546424,-0.06339297612575352,0.05404072649438121,-0.014482163431376625,-0.013295930078824006
A_I_R750,0.14455674063895835,-0.1273860336176229,0.12031726395402877,0.06887126683408375,0.041165556197499044,-0.11309463141428941,-0.030361858482316578,0.02232423619873325,0.05604634700315434,-0.020128295212836676,-0.047415562337086554,-0.048103752609258615,-0.08289962147799601,0.07615288143058623,0.03724373579547463,0.06850007349490866
A_I_R500,0.14345080973902474,-0.07808085774320822,0.16717206783715963,0.046325137981956796,0.0037008645563511395,-0.05337494407335885,-0.014355661241378229,0.028537302959845315,0.03329432587502339,-0.051990966176840334,0.011649501732382871,-0.0722290990346772,-0.14096516906362586,0.1543714657282979,0.013784735874226121,0.10970658203582281
A_I_R1000,0.14243018186574588,-0.15518536604066988,0.07360019209004404,0.07731895037074932,0.047032583537847825,-0.1286754961015603,-0.04091732235352585,0.03472713244051401,0.05504508624010526,-0.006822670150530466,-0.052448802737976,-0.03657051477038761,-0.0482389063779155,0.014290031396513202,0.05309555304283598,0.04980598307423195
A_Ch_R4000,0.14090220461697522,-0.06610190193981916,-0.10531932305956473,-0.14541884356824392,0.07047640111943905,0.011917396230105152,0.2027678880811944,0.1147715232376058,-0.012803019852947642,0.09734572550433498,0.016384891884004993,-0.032258001974450966,-0.029886414438553034,0.04606867275116637,-0.03578748694782655,-0.019723358482920655
A_I_R1250,0.13955808279338602,-0.17058193293748983,0.047351486354823155,0.08268856689343644,0.021431865268481322,-0.12443211026316671,-0.043960976676425484,0.046954996316417884,0.06458736388223023,-0.014558845647177996,-0.047309606248787786,-0.020970203796302784,-0.03204502115411265,-0.020169298869475074,0.050313693989396745,0.03001360864273313
A_I_R1500,0.1387902830550322,-0.1802943885141481,0.027005759799361873,0.09175186250119878,-0.0013976703744330626,-0.10667511660225239,-0.030628630595605257,0.05109330418262336,0.06256147308031144,-0.028518107746742547,-0.030263088732958597,-0.0215000570570004,-0.028049329984919665,-0.023422385889428163,0.04361345749683984,0.021434670127832112
A_Ch_R500,0.13675424774027478,0.09916471088548169,0.1783093194283402,-0.005928189821519736,-0.07805696230860808,0.07506775332451643,-0.033102592886638645,0.04694380349639649,-0.04569099210703657,0.06300198452631617,-0.04558690869982372,0.0053495282533723675,-0.09163410002389828,0.017561653759562035,-0.04288176652897345,-0.08001365361256339
A_Ch_R4500,0.13519890042348878,-0.06804947839453496,-0.10410529852573906,-0.14641997869235382,0.07091087237119752,0.012972935766581529,0.22688676215430265,0.11086117257501009,0.011443899114485706,0.10807711352719072,0.04006290038346454,-0.01664331918754428,0.0022333162599118494,0.03603081367846719,-0.06346322609513359,-0.023455021245146992
M_CH_R500,0.13205598001003846,0.11837521543415655,0.18021408921232746,0.019801269686940678,-0.07863158191473897,0.05031172413431171,-0.05298726892556165,-0.00026062751976993297,0.011109382697272109,0.04368827650239676,0.029937645297775588,-0.012411712788229837,-0.029291436863199627,0.027533232993485736,-0.07676040740501147,-0.07603587858014271
A_I_R2000,0.13068384152608353,-0.1974502969481603,0.006387403649022158,0.0998750502742357,-0.043714750565220985,-0.08387321915897208,-0.036299354028100236,0.0350785919845175,0.05619256754735155,-0.02102291645483883,-0.013007187119684807,0.0016581777282235702,-0.0031541816653885596,0.005219029181366854,0.04391716251832452,0.01983321641430439
A_Ch_R5000,0.1286066091439954,-0.06677847729291893,-0.10234259542552518,-0.1464626578372209,0.07116713698729092,0.012356492637941766,0.24450262450147675,0.10666529310206513,0.03210703908246425,0.11671513978443027,0.05475733354507369,-0.0030228321714781408,0.03030935150561091,0.02159521332192375,-0.08798278562144654,-0.02711718160507594
A_I_R2500,0.12551802552429392,-0.2049120264952533,-0.002693179688227073,0.1001046121868844,-0.08209261357860556,-0.044822406888196165,-0.03242655825970959,0.02208847231632415,0.057890809794672586,-0.003051914474391385,0.013464915447883447,-9.715458040605349e-05,0.009092332951832094,0.006878078489465936,0.035180340625525726,0.019000466267004797
M_CH_RN,0.12057227262303222,-0.035367337475146615,-0.04903177668885257,-0.14869322493246936,0.06032491383504288,0.07062375161907362,0.1368890249715753,-0.09093095502191738,0.0761203422319015,-0.05927998678154636,0.15314020230734854,0.06848767442402792,-0.0008621246343622976,-0.08056973050651578,0.023564494034887445,0.006295923180277024
A_I_R3000,0.11940365418265307,-0.2111807905817641,-0.003278095697170145,0.10439605673721766,-0.09620440841278129,-0.022059680196093914,-0.023108245912124438,0.0010586366845901948,0.04713036962374901,0.00647401818508019,0.01806937580835823,0.009344987572179168,0.03600256202812347,-0.000941415067989591,0.03355934141501989,0.010660167943348602
T_Ch_R750,0.11918213148737108,0.17518744101856856,0.04668376649423992,0.11980902463576126,0.01413040663680843,0.04421879969424129,0.010382040897932251,-0.00447683618290743,0.05001962692725536,0.16215263443868455,0.018142500152550377,0.060645536381342686,0.081750163955011,-0.09033642826126101,-0.03592842255495373,-0.061144189072290356
T_Ch_R500,0.11827032665146499,0.15330357541496298,0.13964122305932875,0.07644656304557598,-0.022084735969827882,0.040069964567918864,0.03377497723138658,0.04633044220149741,0.06029759869381543,0.1190571588942326,0.03174317968427707,0.05246401307528628,0.0421068939858828,-0.12394909583166175,-0.04175084749204189,-0.13956554484324496
A_I_R3500,0.1174231511828868,-0.21287108044271386,0.005733170282474865,0.11372520327704458,-0.0901770990964009,-0.01254483842439049,-0.011636600351968644,-0.015285823671234931,0.028767678899625816,0.0037344501465825185,0.014282197716461326,0.004542299043469354,0.045482093732278295,-0.013070546694602581,0.018544657094599924,0.004270726391192301
A_I_R4000,0.11470850398481501,-0.2161903732508721,0.017829320927298352,0.12082382844743358,-0.0714520042828312,-0.02342806641873835,0.00533515637034824,-0.019449856233599697,0.012137909843320424,-0.004628957219926069,0.007580068953366253,0.0036213836225501726,0.054135761623475664,-0.03281185466665704,0.0001073735879132573,0.0033419871325391366
A_I_R250,0.1144738843590277,0.008838728399679766,0.2136317857774141,0.02144248404562668,-0.08894787004917515,0.05021686588350518,0.05610309185576905,0.11029648822695032,0.010843628823720046,-0.06310095373364887,0.06647262963359765,-0.00893797440593689,-0.13385049938303567,0.0676931831839196,0.08887373730188312,0.10761285992365667
A_I_R4500,0.11250764971914719,-0.21638907890796763,0.024237393247252954,0.1257542891776011,-0.05870385513920388,-0.027557883056190977,0.01862610597452106,-0.029025094301772195,-0.0007023426207434807,-0.01186895215861886,0.0033617715397926606,0.01120999344142808,0.05188397679956515,-0.046784634586296954,-0.01111910082886855,0.0026710478133469564
A_I_R5000,0.11181348773660281,-0.21432031210987826,0.0293752040231075,0.1258967106427913,-0.053575674019656225,-0.02646768236827486,0.03343353430930587,-0.039295487500952644,-0.013073358773907867,-0.017340566380599293,-3.567477320661037e-05,0.020354811902267015,0.05692244204739497,-0.04965681553206883,-0.014564016325397583,-0.001063441648121189
T_Ch_R1000,0.11156319119055572,0.17648883093881607,-0.013995324348890592,0.1595805082632655,0.04105152359764073,0.012809673705639863,0.02921571986879868,-0.02377308747884308,0.05088812259846124,0.16089677596150673,0.016749192751501153,0.06752216374673774,0.1235105969890936,-0.09532780045881356,-0.03646245743093303,0.004356547953792246
T_Ch_R1250,0.11111748793960986,0.1643767889473413,-0.0561825437492054,0.1769945111072184,0.059953766551391945,-0.0036383566591783817,0.04506860824167672,-0.025898011574576885,0.05653350754273608,0.12239737326076293,0.02843060655639606,0.04400621953114125,0.1541431032826902,-0.06254467415157687,-0.01361691676640609,0.04141747183075015
T_Ch_R1500,0.10675943659806118,0.1584531416068752,-0.08015084192020525,0.19490342000129296,0.06080045544708268,-0.008977912520554429,0.05890862253901795,-0.02439655266808979,0.0392305633997637,0.08659595676180158,0.00957158648490775,0.0059507732806267895,0.14829226244024718,-0.04118776458174565,-0.024360090519923855,0.04701124243509845
T_Ch_R250,0.10460434095386041,0.093533014194304,0.1972455147083517,0.05746824613432493,-0.0855318006819035,0.02305340714736359,0.11984609539667289,0.1290688203558631,0.043257633918671747,-0.0013648608610765656,0.0422830449596077,0.10511407550900478,-0.021241616962477526,-0.199719948121756,-0.0182901815261568,-0.10884862673202902
A_I_RN,0.1040694472275371,-0.19144597276910683,0.004367815238014028,0.0783863426877912,0.00969315847715656,-0.04586367519084121,0.1418373162223328,-0.07294898424323673,-0.05282460818648026,-0.06616295837428038,-0.08695707891527371,0.056661304865677616,0.15828943318103028,-0.0837476416462003,-0.07934957302266633,-0.011609279927607602
T_Ch_R2000,0.10138833599439409,0.14628160661091022,-0.12113771489556423,0.20747411171568816,0.05415081282406747,-0.008273930133864887,0.07471725472033788,-0.016945652702650398,0.005983949008530729,0.04626598359111048,-0.013106332086660722,-0.015336541969269873,0.10398655947046712,-0.001978574957950526,-0.014530959748626494,0.045022573284551726
M_CH_R250,0.09952120070956359,0.09320976127290266,0.21975259088633117,0.03672213913641506,-0.12055767703450543,0.027377665389959144,0.10426984876449595,0.12037338635143165,0.0589786982985951,-0.03349929292341275,0.055242626890796453,0.05295549948522016,-0.08094499547941632,-0.11664532828922786,0.027839158713396542,-0.06571587473748325
T_Ch_R2500,0.09482881660323918,0.13633786824704724,-0.15393324787275992,0.21503626320336947,0.04368225285015572,0.0015509097935507055,0.07742321705902457,0.0002282044449720162,-0.009661052828408512,-0.004944790530177164,-0.012438837510170248,-0.024087019777713357,0.02775086084860329,0.01248510479718832,0.0056212477080906575,0.027860204973433438
A_Ch_RN,0.08781951611198503,-0.04088415468159856,-0.06857577222344248,-0.11701113571868177,0.03177911732535572,0.023292296351892075,0.25470516411534966,0.03741279433653055,0.08646055276253145,0.1360584556796399,0.042537266967917646,0.07311714471095797,0.19587437700268065,-0.102641316196852,-0.1828028110217613,-0.08482268404165288
A_Ch_R250,0.0856693972522273,0.09561652834098916,0.21579114965494312,0.022151716776098278,-0.1308247297840465,0.038911866027587595,0.10076369700983707,0.13527685942609666,0.03804341930353621,-0.033883514195199076,-0.04328422088525567,0.10486881608558692,-0.09707478246757135,-0.17191331751141162,0.04689674105448021,-0.07196223693222835
T_Ch_R3000,0.08522212652001461,0.1200190802606035,-0.16572973280588643,0.23123012862610345,0.03503110591562653,0.0019267559691074233,0.07624678114198133,-0.0039005954022396467,-0.031488864452441,-0.045744022790460144,-0.013163219046461208,-0.04629476179093625,-0.02120114105511498,0.025150340693133225,-0.015646152442427914,0.04194427360676607
T_Ch_R3500,0.08084966386318984,0.1077165112606093,-0.17576393803559753,0.2334693886928742,0.016579091724809463,0.022457295391496237,0.07457341430092783,0.005576097895995309,-0.038277035228391466,-0.0776345537300602,-0.009344654049982663,-0.04503397155251723,-0.07891526750097476,0.07204507427041162,0.01221680626009071,-0.0002718369728622346
T_Ch_R4000,0.07772695781507007,0.1032398723029146,-0.1843145657175587,0.22685445775610796,0.004433349048249639,0.0450338959001922,0.07408991617401789,0.012654494369775445,-0.05378499123513754,-0.08319375769433437,-0.001869859185251992,-0.04197376428480965,-0.11182641557333663,0.08211316542621612,0.033735315192450314,-0.011669072720069422
T_Ch_R4500,0.07409182977306115,0.09630097283341155,-0.1886243027779737,0.22695721967067287,0.004065001195576319,0.05522588226853328,0.06612067711000474,0.011334591995099483,-0.05418886888429492,-0.09742325119672356,0.00974602945371619,-0.04116992283864566,-0.13623058650718936,0.08608115635828617,0.05006018921730781,-0.011907733186333204
T_Ch_R5000,0.06763217255870213,0.09261062813307447,-0.19330622597397934,0.21852809931009315,-0.0005098396621984402,0.06445228330021456,0.07005138572659321,0.013642067523206269,-0.05632954845570685,-0.11901656779221913,0.012658946482579033,-0.033226708085612566,-0.16585498190536718,0.08577050785765558,0.06116480654134526,-0.01507306256640327
CONTVTY,0.018369716503084534,-0.05145459341781948,0.07383608559600639,0.04451784033892481,0.13139406658310707,-0.02769969023959995,-0.08130385143128091,0.2297765047301036,-0.4233758505461633,-0.022728945980548546,0.41685503928407064,-0.06277012906226173,0.14880899014671742,0.007926975946483339,0.02702320426207766,0.11205382361743493
M_MD_R500,0.014743790670239381,-0.060554738162281775,-0.1589727172731773,0.017588571561960368,0.09615775943481343,-0.18499180530666032,-0.1977701983760003,-0.22453794891259318,0.0408121298723899,0.059867432524827804,-0.10141133120165476,-0.033687456434627436,0.07314434473926668,0.2737433394255104,-0.04222467407703139,-0.08969762323582667
INDUST,0.00941510624345626,-0.05556623514129777,0.020410786435211853,0.10554739456460549,0.27239012729589385,0.024707872157514382,-0.147551608884483,-0.0040453453763787395,0.22875647052925407,-0.055364508344659544,0.031922926914980485,0.06521563599695653,-0.07857466438818647,-0.19507504460331887,-0.19582806668041913,0.07426353881507065
M_MD_R250,-0.004394250565613314,-0.09166752602634991,-0.048463991918343025,0.061741891983178615,0.1374102927384568,0.07898911447427112,-0.0589720373341994,-0.0951806975253294,0.07298506087499218,0.221938251730801,0.2885419928673412,-0.20303540652153432,-0.09743800045556422,0.23192203464615713,-0.2169225696269466,-0.29702263463379325
COMSTO,-0.007174665459178664,-0.08365797095121245,0.039789317228622535,0.05060942900737239,0.31855700987375873,0.1707401500629297,-0.12022494301363343,0.16831669195610016,0.10709844482333683,-0.051584948778697404,-0.07816521764399303,0.2450261126060063,-0.016523101295822608,0.11081922559854694,-0.13660061516073124,0.04618367807636423
T_Ch_RN,-0.013305877445210525,0.023997546128160525,-0.1403880766042921,0.040812674029172456,-0.02478390071234062,0.048924976117181426,-0.060811447841815774,0.0938593250949088,-0.02897415139066636,-0.29088266671713914,0.014395659192807374,-0.1260839995412249,-0.46129069304423526,-0.1771222577943711,0.10822981602732618,-0.1364008755372439
Park,-0.014159829496381874,-0.03595331156391366,0.011611535305036447,0.029153088759194423,0.11530289312234865,0.17205772849580872,-0.09101672910087052,0.23690708131515592,0.17375750156766273,-0.1272007673508538,-0.11167360541325294,-0.348567495052815,0.26302570910423206,-0.060066074989768486,0.06462678775384087,0.0621048754098039
EDUCAT,-0.014206712685312067,0.06356095513191795,-0.025496138092276993,-0.03223801343034166,0.08622934215447353,0.03827199595314884,0.013249229184258462,-0.09919914099671179,-0.015502283122383408,0.39991640264594835,0.02910163027702411,-0.0648302707794669,-0.09334440139983638,-0.09015634165091205,0.3808756117902542,0.5280685370468473
A_CONTVTY,-0.014872151916233195,-0.05854929402728019,0.06517563357513304,0.09253427147222769,0.12882685018821305,-0.04581696167684024,-0.14343419204411426,0.20679567806901206,-0.36791914352705873,0.02843747264287904,0.4552584916353779,-0.006566742371112294,0.10725103683296364,0.012744495710197437,0.017367951224224354,0.02773882858172566
M_MD_R3500,-0.015868407579026696,-0.15055042375354685,0.07916534302846695,0.09078065677495654,0.011606865528715139,0.3068734022433819,0.06625840948109933,-0.1760658279163374,-0.18339098439994714,0.028196796883762195,-0.13548352015750192,-0.02854228837713442,0.07530287916482567,0.001394354795446953,0.06046859182430431,-0.0949718930501542
M_MD_R750,-0.01680318614761442,-0.05781593246149135,-0.2147481623546515,-0.00040254896055930074,0.0051490306403240435,-0.21758025381644872,-0.1307411477089445,-0.032746121764228996,-0.11219399123375712,0.1077356436527264,-0.1924628830097761,0.114317820498683,0.12025701986838817,-0.13407927982811293,0.10261635302819758,-0.06418179814267012
M_MD_R3000,-0.017340652261194796,-0.12689507119329826,0.021958157177975023,0.0714943998213658,-0.10962957093276644,0.38253039871102845,0.03146483107883288,-0.11888523957095329,-0.09291547211800855,0.15644417278884784,-0.08543428610310998,-0.0326519727599158,0.04847606815799903,-0.0005869157445265389,0.12144188820270421,-0.051622647772533135
COMCEN,-0.017361375606808865,0.008495618485533468,-0.00829895218364644,0.029489520460814985,0.13148808331200668,0.09626870754930959,-0.026842758777519713,0.14101320349746863,-0.05708479527118679,-0.01817765328814859,-0.07488987686432028,0.6441228351826751,-0.03067814804977291,0.3147545518685141,0.1815074489382948,-0.13040642166246888
PUBINST,-0.01906832997803298,0.006669351773307741,0.036093546568608026,-0.006228498683420874,0.15758438073271525,0.028305446983183796,-0.02932628695166893,0.16599442896260247,0.08437790190694533,0.0585999450577205,-0.024794176425057535,-0.1856696230089137,0.17407963757461348,-0.033782058263126996,0.6409657002404389,-0.4713610111824392
LandUs,-0.019213530189667212,-0.06163458949438179,0.03296601850005798,0.05933764237478689,0.3732588781880856,0.1926653493246261,-0.1483999058485756,0.16971954072741868,0.16080474671466627,0.03122741534668661,-0.07308009181873248,0.1887434366570884,-0.033409544380074103,0.018401831115202334,0.023299457493322167,0.07297712330668366
CULSPOR,-0.02019812785046051,-0.03183819516926098,0.018459410542497168,0.03701671912514559,0.20422876798949868,-0.034365724851352114,-0.13920565234430124,-0.07737380737275368,0.13111757069022945,0.25886385287584224,0.07572201994372467,0.010294347321255476,-0.2989098759874043,-0.33533022728346495,0.047269541028660655,0.12009836972529414
M_MD_R1000,-0.033323661889718345,-0.07398306204693451,-0.23131341875894515,-0.0073743594203215,-0.05475856763668414,-0.08001163485225572,-0.11313454675225436,0.1123758079453145,-0.1778067074819742,0.05713247638020314,-0.155644755554959,0.11733319262783175,0.07880568874937793,-0.3201233106031059,0.03233678034986235,-0.05368374243179325
POP_SEG,-0.03455994235952834,-0.07227653247707569,0.006647470243806852,0.059488787665932165,0.1281277645258976,-0.07789518432421139,-0.11497948816213976,-0.10649989005113956,0.045787259896099414,0.29993780772001416,0.07708868268685778,-0.1103462956294951,-0.24700401580643067,-0.08579909629369087,-0.11166361235211916,-0.39771090707735024
BANKOFF,-0.03512463265579657,-0.009311042644351671,-0.00417432876567671,0.0034099380506359203,0.1151752348571056,0.30279533186216834,-0.07531239863243805,0.21084845926991508,0.13919570131912384,-0.14071756394846774,-0.15132556436769792,-0.2964024351704746,0.15033739456258408,-0.013863455102706514,-0.18303156594740286,0.10827864141811896
M_MD_R2500,-0.037405240735291334,-0.10182904815809496,-0.037751638233328076,0.017728572342620253,-0.19546098860985692,0.3911594371989824,-0.01478397800763751,-0.07623004845327849,-0.004149105501970604,0.19873166597243175,0.010754039682649218,-0.01365148662102062,-0.03983191635759986,0.05317051895218763,0.06103865309086824,0.04318344343316031
M_MD_R4000,-0.040494683621704705,-0.1293395938284759,0.12218792250015957,0.08770663804174521,0.16461175436563574,0.16662857855683508,0.1406852720861601,-0.23190267401623915,-0.2395510369260948,-0.08355857641363855,-0.119218696882993,-0.020440016306874267,0.031180677804216267,-0.06171899282480278,-0.036541699238512644,-0.05559037465606908
M_MD_R1500,-0.04549013043573924,-0.08352356779083395,-0.1827206753703311,0.00747824315749152,-0.17005787911208564,0.14560265438399445,-0.1136485311761872,0.17983779705941536,-0.08233845014640694,0.0173829310808323,0.05221569802987737,0.07898521596598487,-0.06759832639205199,-0.176944341215435,-0.17517971369025076,-0.03580474965516828
M_MD_R1250,-0.05110295922928796,-0.07153231548566771,-0.21336988836132798,0.0019140997022108835,-0.12451207243234588,0.07025488103611376,-0.12682091850885227,0.21787030440712687,-0.10996498716886964,0.025434259949149694,-0.07013390291580045,0.06895031933093443,0.007096403484645849,-0.262566887464987,-0.12055329493225178,-0.07585223265363794
M_MD_R2000,-0.05465668118465447,-0.07906017111461705,-0.11218996535037638,-0.0020235877203698366,-0.18462912567795847,0.2927189105560718,-0.0986891095298029,-0.0009214011973345255,-0.02419530741543883,0.1314455064976512,0.09029775833724607,0.05090236557551247,-0.13924488859452933,0.07160882977168219,-0.04908659102781779,0.08102432040840413
M_MD_R4500,-0.06187772855779064,-0.05715120467473228,0.12769354086740647,0.03940723691984478,0.2592624408090231,0.035331473928418504,0.17742254550717457,-0.2291040749584506,-0.23884971699857033,-0.13560221667469513,-0.07311719663386446,0.0007228041452874382,-0.04733732101575117,-0.1578840859321578,-0.026653399708853113,-0.032423718575861314
M_MD_R5000,-0.06952393669032977,0.0046007282901447105,0.12440703228474982,0.008935357981891394,0.2834829482048662,0.0023681473656861443,0.1898920634797802,-0.17710208002749722,-0.17884569509173132,-0.1299668643374962,-0.03948044199783106,-0.009196928244982664,-0.08729418706579122,-0.18674792370934357,-0.034542933443067886,-0.005636230467795678
M_MD_RN,-0.07924805670992825,0.183475517531238,-0.052700502513937035,-0.1731758480618877,0.11020758603289506,-0.031741072378386664,0.039719604644611384,0.06114217407591817,0.0009883026217937638,-0.06076054449131526,-0.015489775435498124,-0.09537040320672485,0.029936245702826603,0.005132523653622427,-0.02214281627182854,-0.026684809868964987
